cli_codigo,cli_nome,cli_email,cli_compras,fil_codigo,fil_titulo,fil_genero,fil_censura
3,"joao adalberto",joacccosilva@hotmail.com,2,3,"vish que mais ou menos",jovem,29
2,"joao silva",joaosilva@hotmail.com,2,3,"vish que mais ou menos",jovem,29
1,"joao barros",joaobarros@hotmail.com,1,3,"vish que mais ou menos",jovem,29
10,"joao melado",joaoshahahilva@hotmail.com,2,4,"vish que talvez",jovem,29
9,"joao texeira",joaossrsilva@hotmail.com,2,4,"vish que talvez",jovem,29
8,"joao firmonio",joaasasosilva@hotmail.com,2,4,"vish que talvez",jovem,29
7,"joao nome",joaosil34va@hotmail.com,2,4,"vish que talvez",jovem,29
6,"joao alves",joaosdddilva@hotmail.com,2,4,"vish que talvez",jovem,29
5,"joao pinto",joaosilbbbva@hotmail.com,2,4,"vish que talvez",jovem,29
4,"joao ferreira",joaosiaaalva@hotmail.com,2,4,"vish que talvez",jovem,29
3,"joao adalberto",joacccosilva@hotmail.com,2,4,"vish que talvez",jovem,29
2,"joao silva",joaosilva@hotmail.com,2,4,"vish que talvez",jovem,29
1,"joao barros",joaobarros@hotmail.com,1,4,"vish que talvez",jovem,29
10,"joao melado",joaoshahahilva@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
9,"joao texeira",joaossrsilva@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
8,"joao firmonio",joaasasosilva@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
7,"joao nome",joaosil34va@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
6,"joao alves",joaosdddilva@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
5,"joao pinto",joaosilbbbva@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
4,"joao ferreira",joaosiaaalva@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
3,"joao adalberto",joacccosilva@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
2,"joao silva",joaosilva@hotmail.com,2,5,"vish que minha mãe é uma pea",jovem,40
1,"joao barros",joaobarros@hotmail.com,1,5,"vish que minha mãe é uma pea",jovem,40
10,"joao melado",joaoshahahilva@hotmail.com,2,6,"vish que 155554",jovem,12
9,"joao texeira",joaossrsilva@hotmail.com,2,6,"vish que 155554",jovem,12
8,"joao firmonio",joaasasosilva@hotmail.com,2,6,"vish que 155554",jovem,12
7,"joao nome",joaosil34va@hotmail.com,2,6,"vish que 155554",jovem,12
6,"joao alves",joaosdddilva@hotmail.com,2,6,"vish que 155554",jovem,12
5,"joao pinto",joaosilbbbva@hotmail.com,2,6,"vish que 155554",jovem,12
4,"joao ferreira",joaosiaaalva@hotmail.com,2,6,"vish que 155554",jovem,12
3,"joao adalberto",joacccosilva@hotmail.com,2,6,"vish que 155554",jovem,12
2,"joao silva",joaosilva@hotmail.com,2,6,"vish que 155554",jovem,12
1,"joao barros",joaobarros@hotmail.com,1,6,"vish que 155554",jovem,12
10,"joao melado",joaoshahahilva@hotmail.com,2,7,"vish que não sei contar",jovem,50
9,"joao texeira",joaossrsilva@hotmail.com,2,7,"vish que não sei contar",jovem,50
8,"joao firmonio",joaasasosilva@hotmail.com,2,7,"vish que não sei contar",jovem,50
7,"joao nome",joaosil34va@hotmail.com,2,7,"vish que não sei contar",jovem,50
6,"joao alves",joaosdddilva@hotmail.com,2,7,"vish que não sei contar",jovem,50
5,"joao pinto",joaosilbbbva@hotmail.com,2,7,"vish que não sei contar",jovem,50
4,"joao ferreira",joaosiaaalva@hotmail.com,2,7,"vish que não sei contar",jovem,50
3,"joao adalberto",joacccosilva@hotmail.com,2,7,"vish que não sei contar",jovem,50
2,"joao silva",joaosilva@hotmail.com,2,7,"vish que não sei contar",jovem,50
1,"joao barros",joaobarros@hotmail.com,1,7,"vish que não sei contar",jovem,50
10,"joao melado",joaoshahahilva@hotmail.com,2,8,"vish que sei lá",jovem,15
9,"joao texeira",joaossrsilva@hotmail.com,2,8,"vish que sei lá",jovem,15
8,"joao firmonio",joaasasosilva@hotmail.com,2,8,"vish que sei lá",jovem,15
7,"joao nome",joaosil34va@hotmail.com,2,8,"vish que sei lá",jovem,15
6,"joao alves",joaosdddilva@hotmail.com,2,8,"vish que sei lá",jovem,15
5,"joao pinto",joaosilbbbva@hotmail.com,2,8,"vish que sei lá",jovem,15
4,"joao ferreira",joaosiaaalva@hotmail.com,2,8,"vish que sei lá",jovem,15
3,"joao adalberto",joacccosilva@hotmail.com,2,8,"vish que sei lá",jovem,15
2,"joao silva",joaosilva@hotmail.com,2,8,"vish que sei lá",jovem,15
1,"joao barros",joaobarros@hotmail.com,1,8,"vish que sei lá",jovem,15
10,"joao melado",joaoshahahilva@hotmail.com,2,9,"mudando de assunto",jovem,5
9,"joao texeira",joaossrsilva@hotmail.com,2,9,"mudando de assunto",jovem,5
8,"joao firmonio",joaasasosilva@hotmail.com,2,9,"mudando de assunto",jovem,5
7,"joao nome",joaosil34va@hotmail.com,2,9,"mudando de assunto",jovem,5
6,"joao alves",joaosdddilva@hotmail.com,2,9,"mudando de assunto",jovem,5
5,"joao pinto",joaosilbbbva@hotmail.com,2,9,"mudando de assunto",jovem,5
4,"joao ferreira",joaosiaaalva@hotmail.com,2,9,"mudando de assunto",jovem,5
3,"joao adalberto",joacccosilva@hotmail.com,2,9,"mudando de assunto",jovem,5
2,"joao silva",joaosilva@hotmail.com,2,9,"mudando de assunto",jovem,5
1,"joao barros",joaobarros@hotmail.com,1,9,"mudando de assunto",jovem,5
10,"joao melado",joaoshahahilva@hotmail.com,2,10,"você ta tao bonita",jovem,90
9,"joao texeira",joaossrsilva@hotmail.com,2,10,"você ta tao bonita",jovem,90
8,"joao firmonio",joaasasosilva@hotmail.com,2,10,"você ta tao bonita",jovem,90
7,"joao nome",joaosil34va@hotmail.com,2,10,"você ta tao bonita",jovem,90
6,"joao alves",joaosdddilva@hotmail.com,2,10,"você ta tao bonita",jovem,90
5,"joao pinto",joaosilbbbva@hotmail.com,2,10,"você ta tao bonita",jovem,90
4,"joao ferreira",joaosiaaalva@hotmail.com,2,10,"você ta tao bonita",jovem,90
3,"joao adalberto",joacccosilva@hotmail.com,2,10,"você ta tao bonita",jovem,90
2,"joao silva",joaosilva@hotmail.com,2,10,"você ta tao bonita",jovem,90
1,"joao barros",joaobarros@hotmail.com,1,10,"você ta tao bonita",jovem,90
